id,0,modularity_class,degree,clustering,eigencentrality
SCG,Utilities,2,123,0.6506730641076902,0.39845497871676155
AME,Industrials,1,262,0.48255388845017694,0.8667102514568186
AMG,Financials,3,142,0.6681650184796724,0.5026543509683704
DOW,Materials,2,154,0.672099142687378,0.5925830502765633
COO,Health Care,2,2,1.0,0.003387894684987777
LLL,Industrials,2,164,0.617462217566961,0.5753947350655311
ROP,Industrials,1,256,0.4733762254901961,0.8370256020100328
AMP,Financials,3,171,0.623047815617475,0.613939911008824
KMX,Consumer Discretionary,3,32,0.9495967741935484,0.12943978498933142
AMT,Real Estate,3,192,0.599967277486911,0.703402008246457
LRCX,Information Technology,1,77,0.8448393711551606,0.3255113036741281
O,Real Estate,3,131,0.7830886670581327,0.5090045830636086
UPS,Industrials,3,223,0.5695471256009372,0.7924320817446172
TRV,Financials,3,100,0.7353535353535353,0.3956268398988084
AVY,Materials,2,277,0.4602888086642599,0.8978397943949213
MDLZ,Consumer Staples,2,138,0.681370993335449,0.5140054920326603
AVB,Real Estate,3,229,0.5594882402512832,0.7954104184570967
NEM,Materials,1,12,1.0,0.023797170825638057
NEE,Utilities,2,106,0.7223719676549866,0.3477143233860106
ACN,Information Technology,2,83,0.8122245077872465,0.3481087751862226
NI,Utilities,2,169,0.5924908424908425,0.5723709810975335
TEL,Information Technology,2,145,0.6947318007662835,0.566203929648151
RRC,Energy,1,51,0.9670588235294117,0.12446424302363744
FAST,Industrials,3,157,0.7068430507920954,0.6088667270832488
NBL,Energy,1,119,0.6976214214499359,0.3888090572993503
HP,Energy,1,70,0.8848861283643892,0.20446001004157643
LLTC,Information Technology,1,101,0.8235643564356435,0.4232502222334119
ADS,Information Technology,3,1,0.0,0.0017324858635853722
ADP,Information Technology,2,228,0.5459077208439601,0.7983992168922804
DNB,Industrials,2,52,0.9577677224736049,0.24784285565268865
GILD,Health Care,2,7,0.5714285714285714,0.014030629129603667
BBBY,Consumer Discretionary,3,162,0.6871405567057741,0.5944315515551879
JPM,Financials,3,135,0.6977335544499723,0.47730900857052405
ADM,Consumer Staples,1,55,0.8855218855218855,0.18160677874654976
ADI,Information Technology,1,82,0.8343872327612165,0.3466905281324837
VIAB,Consumer Discretionary,2,62,0.7699629825489159,0.2332577121644371
XEC,Energy,1,92,0.7534639273769709,0.27242084239682474
XEL,Utilities,2,157,0.5782296260003267,0.49908383058771094
LEN,Consumer Discretionary,3,57,0.8295739348370927,0.1836686876228291
MET,Financials,3,31,0.9419354838709677,0.13361429211632736
USB,Financials,3,161,0.6610248447204969,0.5753268814996017
AZO,Consumer Discretionary,3,137,0.7325032202662086,0.5337178009910246
PDCO,Health Care,2,68,0.8573309920983319,0.30262807118870627
TWX,Consumer Discretionary,2,169,0.5891096083403776,0.5829138434891965
PCAR,Industrials,3,271,0.4861281946152795,0.9034719442886071
TXN,Information Technology,1,49,0.9124149659863946,0.21777456192861003
DAL,Industrials,0,4,0.8333333333333334,0.0016105084828010022
HES,Energy,1,67,0.8701944821347807,0.19638732836657474
ORCL,Information Technology,2,202,0.5623368306979952,0.7083851045918403
TXT,Industrials,3,59,0.9199298655756867,0.2724666888123071
PXD,Energy,1,77,0.8561175666438824,0.23611228531861406
HOG,Consumer Discretionary,3,201,0.5951741293532339,0.7095486493660821
ESS,Real Estate,3,143,0.7661774844873437,0.5567598046847871
PKI,Health Care,2,6,0.7333333333333333,0.019104916664488027
CNP,Utilities,2,121,0.6679063360881543,0.39317136547957043
HON,Industrials,2,245,0.5178989628638341,0.8376545504028253
ICE,Financials,3,119,0.7766699900299102,0.48753427150868067
AN,Consumer Discretionary,3,41,0.9292682926829269,0.1652979756974485
ROK,Industrials,1,249,0.5069309496048711,0.8434736450293246
TROW,Financials,3,264,0.48438760225832467,0.8673911589953542
ISRG,Health Care,1,2,1.0,0.011740889295380722
PFE,Health Care,2,260,0.47015147015147013,0.8441707968209156
NKE,Consumer Discretionary,3,140,0.7798561151079136,0.5686253243555668
PFG,Financials,3,142,0.6674657876336031,0.536850628617227
SPGI,Financials,2,286,0.44475524475524475,0.9131984226885128
