,tickers,sectors
215,GS,Financials
216,GT,Consumer Discretionary
217,GWW,Industrials
218,HAL,Energy
219,HBI,Consumer Discretionary
220,HOG,Consumer Discretionary
221,HAR,Consumer Discretionary
222,HRS,Information Technology
223,HIG,Financials
224,HAS,Consumer Discretionary
225,HCA,Health Care
226,HCP,Real Estate
227,HP,Energy
228,HES,Energy
229,HPE,Information Technology
230,HOLX,Health Care
231,HD,Consumer Discretionary
232,HON,Industrials
233,HRL,Consumer Staples
234,HST,Real Estate
235,HPQ,Information Technology
236,HUM,Health Care
237,HBAN,Financials
238,IDXX,Health Care
239,ITW,Industrials
240,ILMN,Health Care
241,IR,Industrials
242,INTC,Information Technology
243,ICE,Financials
244,IBM,Information Technology
245,IP,Materials
246,IPG,Consumer Discretionary
247,IFF,Materials
248,INTU,Information Technology
249,ISRG,Health Care
250,IVZ,Financials
251,IRM,Real Estate
252,JEC,Industrials
253,JBHT,Industrials
254,SJM,Consumer Staples
255,JNJ,Health Care
256,JCI,Industrials
257,JPM,Financials
258,JNPR,Information Technology
259,KSU,Industrials
260,K,Consumer Staples
261,KEY,Financials
262,KMB,Consumer Staples
263,KIM,Real Estate
264,KMI,Energy
265,KLAC,Information Technology
266,KSS,Consumer Discretionary
267,KHC,Consumer Staples
268,KR,Consumer Staples
269,LB,Consumer Discretionary
270,LLL,Industrials
271,LH,Health Care
272,LRCX,Information Technology
273,LEG,Industrials
274,LEN,Consumer Discretionary
275,LVLT,Telecommunications Services
276,LUK,Financials
277,LLY,Health Care
278,LNC,Financials
279,LLTC,Information Technology
280,LKQ,Consumer Discretionary
281,LMT,Industrials
282,L,Financials
283,LOW,Consumer Discretionary
284,LYB,Materials
285,MTB,Financials
286,MAC,Real Estate
287,M,Consumer Discretionary
288,MNK,Health Care
289,MRO,Energy
290,MPC,Energy
291,MAR,Consumer Discretionary
292,MMC,Financials
293,MLM,Materials
294,MAS,Industrials
295,MA,Information Technology
296,MAT,Consumer Discretionary
297,MKC,Consumer Staples
298,MCD,Consumer Discretionary
299,MCK,Health Care
300,MJN,Consumer Staples
301,MDT,Health Care
302,MRK,Health Care
303,MET,Financials
304,MTD,Health Care
305,KORS,Consumer Discretionary
306,MCHP,Information Technology
307,MU,Information Technology
308,MSFT,Information Technology
309,MAA,Real Estate
310,MHK,Consumer Discretionary
311,TAP,Consumer Staples
312,MDLZ,Consumer Staples
313,MON,Materials
314,MNST,Consumer Staples
315,MCO,Financials
316,MS,Financials
317,MOS,Materials
318,MSI,Information Technology
319,MUR,Energy
320,MYL,Health Care
321,NDAQ,Financials
322,NOV,Energy
323,NAVI,Financials
324,NTAP,Information Technology
325,NFLX,Information Technology
326,NWL,Consumer Discretionary
327,NFX,Energy
328,NEM,Materials
329,NWSA,Consumer Discretionary
330,NWS,Consumer Discretionary
331,NEE,Utilities
332,NLSN,Industrials
333,NKE,Consumer Discretionary
334,NI,Utilities
335,NBL,Energy
336,JWN,Consumer Discretionary
337,NSC,Industrials
338,NTRS,Financials
339,NOC,Industrials
340,NRG,Utilities
341,NUE,Materials
342,NVDA,Information Technology
343,ORLY,Consumer Discretionary
344,OXY,Energy
345,OMC,Consumer Discretionary
346,OKE,Energy
347,ORCL,Information Technology
348,PCAR,Industrials
349,PH,Industrials
350,PDCO,Health Care
351,PAYX,Information Technology
352,PYPL,Information Technology
353,PNR,Industrials
354,PBCT,Financials
355,PEP,Consumer Staples
356,PKI,Health Care
357,PRGO,Health Care
358,PFE,Health Care
359,PCG,Utilities
360,PM,Consumer Staples
361,PSX,Energy
362,PNW,Utilities
363,PXD,Energy
364,PBI,Industrials
365,PNC,Financials
366,RL,Consumer Discretionary
367,PPG,Materials
368,PPL,Utilities
369,PX,Materials
370,PCLN,Consumer Discretionary
371,PFG,Financials
372,PG,Consumer Staples
373,PGR,Financials
374,PLD,Real Estate
375,PRU,Financials
376,PEG,Utilities
377,PSA,Real Estate
378,PHM,Consumer Discretionary
379,PVH,Consumer Discretionary
380,QRVO,Information Technology
381,PWR,Industrials
382,QCOM,Information Technology
383,DGX,Health Care
384,RRC,Energy
385,RTN,Industrials
386,O,Real Estate
387,RHT,Information Technology
388,REGN,Health Care
389,RF,Financials
390,RSG,Industrials
391,RAI,Consumer Staples
392,RHI,Industrials
393,ROK,Industrials
394,COL,Industrials
395,ROP,Industrials
396,ROST,Consumer Discretionary
397,RCL,Consumer Discretionary
398,R,Industrials
399,CRM,Information Technology
400,SCG,Utilities
401,SLB,Energy
402,SNI,Consumer Discretionary
403,STX,Information Technology
404,SEE,Materials
405,SRE,Utilities
406,SHW,Materials
407,SIG,Consumer Discretionary
408,SPG,Real Estate
409,SWKS,Information Technology
410,SLG,Real Estate
411,SNA,Consumer Discretionary
412,SO,Utilities
413,LUV,Industrials
414,SWN,Energy
415,SE,Energy
416,SPGI,Financials
417,SWK,Consumer Discretionary
418,SPLS,Consumer Discretionary
419,SBUX,Consumer Discretionary
420,STT,Financials
421,SRCL,Industrials
422,SYK,Health Care
423,STI,Financials
424,SYMC,Information Technology
425,SYF,Financials
426,SYY,Consumer Staples
427,TROW,Financials
428,TGT,Consumer Discretionary
429,TEL,Information Technology
430,TGNA,Consumer Discretionary
431,TDC,Information Technology
432,TSO,Energy
433,TXN,Information Technology
434,TXT,Industrials
435,COO,Health Care
436,HSY,Consumer Staples
437,TRV,Financials
438,TMO,Health Care
439,TIF,Consumer Discretionary
440,TWX,Consumer Discretionary
441,TJX,Consumer Discretionary
442,TMK,Financials
443,TSS,Information Technology
444,TSCO,Consumer Discretionary
445,TDG,Industrials
446,RIG,Energy
447,TRIP,Consumer Discretionary
448,FOXA,Consumer Discretionary
449,FOX,Consumer Discretionary
450,TSN,Consumer Staples
451,UDR,Real Estate
452,ULTA,Consumer Discretionary
453,USB,Financials
454,UA,Consumer Discretionary
455,UAA,Consumer Discretionary
456,UNP,Industrials
457,UAL,Industrials
458,UNH,Health Care
459,UPS,Industrials
460,URI,Industrials
461,UTX,Industrials
462,UHS,Health Care
463,UNM,Financials
464,URBN,Consumer Discretionary
465,VFC,Consumer Discretionary
466,VLO,Energy
467,VAR,Health Care
468,VTR,Real Estate
469,VRSN,Information Technology
470,VRSK,Industrials
471,VZ,Telecommunications Services
472,VRTX,Health Care
473,VIAB,Consumer Discretionary
474,V,Information Technology
475,VNO,Real Estate
476,VMC,Materials
477,WMT,Consumer Staples
478,WBA,Consumer Staples
479,DIS,Consumer Discretionary
480,WM,Industrials
481,WAT,Health Care
482,WEC,Utilities
483,WFC,Financials
484,HCN,Real Estate
485,WDC,Information Technology
486,WU,Information Technology
487,WRK,Materials
488,WY,Real Estate
489,WHR,Consumer Discretionary
490,WFM,Consumer Staples
491,WMB,Energy
492,WLTW,Financials
493,WYN,Consumer Discretionary
494,WYNN,Consumer Discretionary
495,XEL,Utilities
496,XRX,Information Technology
497,XLNX,Information Technology
498,XL,Financials
499,XYL,Industrials
500,YHOO,Information Technology
501,YUM,Consumer Discretionary
502,ZBH,Health Care
503,ZION,Financials
504,ZTS,Health Care
