,0,1
316,ICE,WHR
317,AMGN,AVB
318,AVB,HSY
319,FBHS,WFM
320,WFM,MMC
321,MMC,HRL
322,PPL,TGNA
323,MCD,ABT
324,ABT,ULTA
325,ABT,ED
326,ED,MTB
327,ED,AMZN
328,COST,AIZ
329,XYL,ROP
330,ISRG,GILD
331,MTD,HOLX
332,MJN,PRGO
333,TIF,AWK
334,AWK,COF
335,COF,REGN
336,COF,VIAB
337,AWK,ATVI
338,AWK,MKC
339,MKC,BMY
340,BMY,AYI
341,VIAB,BBT
342,AWK,PM
343,PM,MNST
344,FTR,AME
345,FITB,CMI
346,ISRG,XL
347,DOW,IFF
348,PG,SEE
349,CCI,GWW
350,GWW,UA
351,GWW,CMG
352,PSX,PNR
353,MRO,CPB
354,CPB,RHT
355,NOV,RCL
356,RCL,SYMC
357,RCL,CI
358,CI,EBAY
359,STI,ACN
360,AAL,T
361,APA,HES
362,HOG,TRV
363,TRV,ROST
364,CNP,DTE
365,ROST,FB
366,FOX,CINF
367,UTX,A
368,A,DLTR
369,PCAR,HUM
370,COF,AEP
371,A,SJM
372,CTL,CCL
373,COF,F
374,IR,CME
375,RTN,AMG
376,AYI,EIX
377,TMO,WYNN
378,SCG,NLSN
379,NLSN,VLO
380,VLO,PHM
381,VLO,XEC
382,VLO,ROK
383,ROK,KR
384,KR,MNK
385,MNK,JCI
386,CA,TRIP
387,XOM,R
388,R,HCN
389,SBUX,GE
390,MNK,SE
391,APA,HP
392,D,MO
393,D,EQT
394,CCI,UNP
395,UNP,AGN
396,AGN,APH
397,AGN,HPQ
398,APH,CELG
399,TJX,TXT
400,APA,NTRS
401,STI,QCOM
402,AAP,CL
403,SEE,ARNC
404,OKE,WDC
405,VMC,NKE
406,RIG,GOOG
407,TRIP,VAR
408,CCI,DISCA
409,PHM,KSS
410,BIIB,CF
411,FTV,SIG
412,PCG,BCR
413,BAC,CTAS
414,SWN,YHOO
415,AES,AAPL
416,SYY,XLNX
417,ALK,TEL
418,TEL,VNO
419,FTV,HST
420,WY,LB
421,FTV,TGT
422,XLNX,HON
423,FDX,MDLZ
424,MDLZ,HSIC
425,MRK,MSI
426,TRV,COO
427,ISRG,RSG
428,HOG,ADSK
429,ADSK,PH
430,ADSK,ABBV
431,TGNA,SRCL
432,MCD,BRK-B
433,MMM,ZTS
434,AVGO,GLW
435,COF,NAVI
436,NAVI,MSFT
437,MSFT,DNB
438,AAPL,DG
439,YUM,MA
440,AON,ITW
441,SNI,ESRX
442,BXP,TROW
443,INTU,KO
444,AZO,EVHC
445,TRV,NWL
446,NWL,SCHW
447,NWL,HBAN
448,PCG,MAA
449,FBHS,FAST
450,CMCSA,VRTX
451,MU,JBHT
452,AAL,CMS
453,VFC,CAH
454,APC,FLR
455,ADBE,ZBH
456,AWK,ALXN
457,DE,IDXX
458,AVB,BHI
459,KSS,MAS
460,VLO,GT
461,VAR,TSO
462,KR,GD
463,WEC,TSN
464,TSN,UDR
465,TIF,ILMN
466,HOLX,TSCO
467,CNP,MET
468,AWK,LNC
469,TMO,ALL
470,COF,BBY
471,PSX,HIG
472,AON,TAP
473,AXP,NUE
474,CME,CTSH
475,CTSH,FLS
476,NAVI,PLD
477,AYI,CMA
478,MCD,WMT
479,LVLT,GPN
480,ROK,LH
481,SYK,IRM
482,CF,CBS
483,WBA,SPGI
484,BWA,SHW
485,PCG,C
486,TRV,DVA
487,DVA,COTY
488,YUM,DVN
489,UPS,CBG
490,CSRA,UAA
491,JCI,URI
492,MCD,WMB
493,ADM,NWSA
494,HOG,TSS
495,SWN,CFG
496,ALLE,FISV
497,JNJ,WAT
498,WAT,KHC
499,TRV,WU
500,RSG,HPE
501,EXC,NEM
502,LEN,CHTR
503,IPG,ETR
