id,0,degree,modularity_class,clustering,eigencentrality
BXP,Real Estate,21,4,0.5857142857142857,0.1006098284273213
AXP,Financials,17,27,0.49264705882352944,0.22257963029072256
FMC,Materials,10,18,0.2,0.08500375766307652
EOG,Energy,26,22,0.4676923076923077,0.24585293027004268
BA,Industrials,6,18,0.5333333333333333,0.05525431809097008
MHK,Consumer Discretionary,3,31,1.0,0.0016798122158801808
WM,Industrials,1,0,0.0,3.475985811388761E-4
V,Information Technology,1,15,0.0,3.475985811388761E-4
VFC,Consumer Discretionary,1,6,0.0,3.870184298549566E-4
BK,Financials,32,27,0.7318548387096774,0.5220389487927976
VZ,Telecommunications Services,1,7,0.0,3.475985811388761E-4
CCL,Consumer Discretionary,2,27,1.0,0.01859790239213841
WDC,Information Technology,1,2,0.0,3.475985811388761E-4
CCI,Real Estate,1,12,0.0,3.475985811388761E-4
USB,Financials,34,27,0.5864527629233511,0.4954966296606766
TIF,Consumer Discretionary,1,1,0.0,3.475985811388761E-4
STX,Information Technology,1,2,0.0,3.475985811388761E-4
HAR,Consumer Discretionary,7,18,0.8571428571428571,0.12326136721109296
WY,Real Estate,10,4,0.5777777777777777,0.12831332036589596
AMGN,Health Care,2,3,0.0,6.996941758792157E-4
BBT,Financials,15,27,0.8857142857142857,0.21490194193168996
VNO,Real Estate,21,4,0.5904761904761905,0.11577384469835274
MAA,Real Estate,13,4,0.8846153846153846,0.046769007736425866
GOOGL,Information Technology,1,5,0.0,3.475985811388761E-4
FLIR,Information Technology,9,20,0.5555555555555556,0.08262099420772169
PRU,Financials,37,27,0.5885885885885885,0.581192448250886
BWA,Consumer Discretionary,25,18,0.49666666666666665,0.3170534755602235
RF,Financials,10,27,0.9777777777777777,0.13014633509009574
GOOG,Information Technology,1,5,0.0,3.475985811388761E-4
UAL,Industrials,2,34,1.0,8.253248685922924E-4
HST,Real Estate,39,27,0.3873144399460189,0.5018313868210312
RL,Consumer Discretionary,2,6,0.0,6.996941758792157E-4
RIG,Energy,4,22,0.8333333333333334,0.03824121736056837
DLPH,Consumer Discretionary,1,18,0.0,0.009914616818530715
SPG,Real Estate,19,4,0.6842105263157895,0.06990740051284768
WEC,Utilities,19,29,0.5146198830409356,0.02445615824302265
GS,Financials,30,27,0.7862068965517242,0.5140405097668843
D,Utilities,14,29,0.7362637362637363,0.02050636509331429
FITB,Financials,30,27,0.6827586206896552,0.4510073189901496
EQR,Real Estate,13,4,0.9102564102564102,0.03703195271569636
L,Financials,41,27,0.5024390243902439,0.5996987722255103
HRS,Information Technology,2,20,1.0,0.024907054827416994
GPC,Consumer Discretionary,5,18,0.9,0.08658403703635952
NWL,Consumer Discretionary,1,18,0.0,0.0025606651052171906
GE,Industrials,26,18,0.4430769230769231,0.35346561136049626
GD,Industrials,13,18,0.5,0.1522107355535173
T,Telecommunications Services,1,7,0.0,3.475985811388761E-4
WMB,Energy,2,22,1.0,0.015682023215395753
XLNX,Information Technology,10,20,0.7333333333333333,0.08635530515076546
SYMC,Information Technology,1,18,0.0,0.0020381565641093453
CTXS,Information Technology,2,8,0.0,6.996941758792157E-4
EXR,Real Estate,10,4,0.8222222222222222,0.040069601688223024
BRK-B,Financials,32,27,0.45564516129032256,0.4384966646249549
HAL,Energy,5,22,0.7,0.02598607341738114
MAS,Industrials,6,31,0.3333333333333333,0.006545665937874122
MAR,Consumer Discretionary,14,18,0.5164835164835165,0.2130063967354786
PHM,Consumer Discretionary,4,31,0.8333333333333334,0.0020941597827917255
SNA,Consumer Discretionary,12,18,0.25757575757575757,0.06657101563051823
CINF,Financials,21,27,0.6142857142857143,0.33227182416342504
SWK,Consumer Discretionary,7,18,0.7619047619047619,0.06266659560264341
RHT,Information Technology,1,8,0.0,3.870184298549566E-4
EQT,Energy,4,22,0.6666666666666666,0.004189749865454089
NTRS,Financials,52,27,0.45248868778280543,0.7204798216743984
RHI,Industrials,7,18,1.0,0.13699193968166037
MMM,Industrials,49,18,0.31547619047619047,0.5425615579156453
APH,Information Technology,8,20,0.8571428571428571,0.06920111451537866
KIM,Real Estate,24,4,0.4601449275362319,0.1464233990631736
ROST,Consumer Discretionary,1,17,0.0,3.475985811388761E-4
APC,Energy,23,22,0.5296442687747036,0.2005574270011192
APA,Energy,20,22,0.5842105263157895,0.10563525612287733
XYL,Industrials,2,18,1.0,0.01660280975324026
APD,Materials,10,18,0.6222222222222222,0.13486187678452508
CXO,Energy,10,22,0.9777777777777777,0.06335394121141497
KSU,Industrials,3,9,1.0,0.002531222545528503
AEP,Utilities,2,29,1.0,0.003586703313476565
SRE,Utilities,8,29,1.0,0.013963857382946775
BEN,Financials,43,18,0.35658914728682173,0.5500199383141986
AET,Health Care,3,25,0.6666666666666666,0.0012737390569722887
CMI,Industrials,12,18,0.8484848484848485,0.14346591013963453
WFC,Financials,43,27,0.5448504983388704,0.6094295291791291
FLS,Industrials,24,18,0.4384057971014493,0.25707933391684323
FLR,Industrials,18,18,0.5751633986928104,0.2616140616215662
ZION,Financials,19,27,0.8128654970760234,0.2744966596476691
C,Financials,35,27,0.6672268907563025,0.5468010929977909
DTE,Utilities,17,29,0.6029411764705882,0.023094504454499294
AMAT,Information Technology,18,20,0.43137254901960786,0.16486714381081374
AEE,Utilities,12,29,0.7272727272727273,0.01780620582960667
KLAC,Information Technology,3,20,1.0,0.019862271674011278
EMR,Industrials,9,18,0.9444444444444444,0.10143884372688294
PEG,Utilities,6,29,0.5333333333333333,0.00832630451275721
FDX,Industrials,6,9,0.4666666666666667,0.1026012738323533
CMS,Utilities,17,29,0.5955882352941176,0.022972273739924335
PCG,Utilities,5,29,1.0,0.009010258717859407
HD,Consumer Discretionary,1,11,0.0,3.475985811388761E-4
OXY,Energy,31,22,0.4236559139784946,0.33095955326343146
XRAY,Health Care,30,18,0.3954022988505747,0.35053385075452426
UPS,Industrials,1,9,0.0,0.003363667989118196
AVGO,Information Technology,7,20,0.5238095238095238,0.033400554114077906
CNP,Utilities,6,29,0.8,0.00865957832990617
VLO,Energy,1,10,0.0,3.475985811388761E-4
TSO,Energy,1,10,0.0,3.475985811388761E-4
ETN,Industrials,24,18,0.5362318840579711,0.2599966801869648
