id,0,degree,modularity_class,clustering,eigencentrality
AGN,Health Care,2,1,1.0,0.003771075226373802
EOG,Energy,25,10,0.75,0.024144427981812638
CPB,Consumer Staples,15,8,0.7238095238095238,0.043614980427822796
EVHC,Health Care,1,1,0.0,1.4895929972172327E-4
QRVO,Information Technology,2,11,1.0,4.339764759202445E-4
JWN,Consumer Discretionary,2,1,1.0,6.038809320019613E-4
JBHT,Industrials,1,0,0.0,0.0031282725483569684
VRTX,Health Care,3,1,1.0,0.003042274804010226
BWA,Consumer Discretionary,3,0,1.0,0.007665151715552112
UAL,Industrials,4,5,1.0,6.273733977503372E-4
UAA,Consumer Discretionary,1,1,0.0,7.275530264848957E-4
WM,Industrials,3,0,1.0,0.025893593518829958
SPG,Real Estate,42,7,0.686411149825784,0.04830479915206081
FIS,Information Technology,3,0,1.0,0.026035321336220704
GT,Consumer Discretionary,14,0,0.7912087912087912,0.11344410014950633
GS,Financials,121,0,0.5242424242424243,0.8638838555630851
WRK,Materials,4,2,0.3333333333333333,0.014436373615095335
ROP,Industrials,86,0,0.6476060191518468,0.6728543182547341
GE,Industrials,9,0,0.8888888888888888,0.09002186465657713
GD,Industrials,71,0,0.7010060362173038,0.5767246131999961
VAR,Health Care,17,1,0.7573529411764706,0.12487892650165211
GM,Consumer Discretionary,3,0,1.0,0.02666850632890375
BRK-B,Financials,174,0,0.3237658627333732,0.9972763916540621
MAS,Industrials,6,8,0.26666666666666666,0.018376812294641602
PKI,Health Care,56,1,0.6441558441558441,0.42800866465450826
SNA,Consumer Discretionary,112,0,0.5138352638352638,0.7882250863118256
FOXA,Consumer Discretionary,5,9,0.8,0.004895609611455562
SNI,Consumer Discretionary,5,9,0.6,0.005315708571083941
XRAY,Health Care,23,1,0.8142292490118577,0.1730838306867062
MAC,Real Estate,2,7,1.0,0.0028587561504194326
JNJ,Health Care,73,1,0.6236681887366818,0.5465699678463964
XYL,Industrials,75,0,0.6392792792792793,0.576089683248342
TSO,Energy,3,10,1.0,0.0018897583921441501
BEN,Financials,124,0,0.45712037765538943,0.8277947738392788
CMI,Industrials,6,10,0.9333333333333333,0.03317627912946981
DISCA,Consumer Discretionary,3,9,1.0,7.242699992762599E-4
LMT,Industrials,57,1,0.631578947368421,0.40869673609925516
CME,Financials,41,0,0.9390243902439024,0.37725924455757076
CMA,Financials,49,0,0.9430272108843537,0.43375876398773167
CMS,Utilities,41,7,0.7524390243902439,0.040273037967501556
TSS,Information Technology,50,0,0.84,0.4509377154763052
MAR,Consumer Discretionary,20,1,0.7315789473684211,0.15585534195461812
VLO,Energy,3,10,1.0,0.0018897583921441505
TGNA,Consumer Discretionary,5,0,1.0,0.05119128831276777
HCP,Real Estate,30,7,0.8298850574712644,0.03254165924928605
K,Consumer Staples,12,8,0.8636363636363636,0.03545144705276253
BLL,Materials,5,0,1.0,0.05026022857294825
HCA,Health Care,1,1,0.0,1.4895929972172327E-4
BLK,Financials,110,0,0.560300250208507,0.809808109712131
FTI,Energy,17,10,0.9117647058823529,0.012704284380333043
HCN,Real Estate,38,7,0.7681365576102418,0.03852017618444354
NFX,Energy,19,10,0.9883040935672515,0.015141860375708594
MA,Information Technology,118,0,0.53541938287701,0.8501576852982221
CBG,Real Estate,46,0,0.7990338164251207,0.41326980414967557
MO,Consumer Staples,18,8,0.6928104575163399,0.06780899868670585
NOC,Industrials,80,0,0.6253164556962025,0.6013554262616491
CBS,Consumer Discretionary,7,9,0.5714285714285714,0.04489628985498256
NDAQ,Financials,32,0,0.9637096774193549,0.30630253929073625
UHS,Health Care,3,1,0.0,5.077631616421386E-4
MS,Financials,107,0,0.597778169634985,0.8065164460101397
TJX,Consumer Discretionary,7,1,0.5238095238095238,0.01077058340633311
NOV,Energy,16,10,0.925,0.0113184296258546
AMGN,Health Care,34,1,0.4741532976827095,0.1713460549125563
FB,Information Technology,3,1,1.0,0.02436057665795345
COST,Consumer Staples,9,1,0.75,0.07463834429274983
FE,Utilities,25,7,0.9766666666666667,0.02056847501997437
ADBE,Information Technology,4,0,1.0,0.03410609525606442
DOV,Industrials,29,10,0.5591133004926109,0.12582383687346838
MSFT,Information Technology,2,8,1.0,0.01570541484857947
GLW,Information Technology,1,0,0.0,0.010601594159750607
SCHW,Financials,63,0,0.8305171530977983,0.530005059312291
GGP,Real Estate,38,7,0.6642958748221907,0.039827698376552124
FCX,Materials,15,10,0.7904761904761904,0.019843279340920734
BDX,Health Care,31,1,0.6774193548387096,0.2045157407238646
BXP,Real Estate,52,7,0.5052790346907994,0.10132102905434905
MDT,Health Care,36,1,0.6634920634920635,0.23895962553807593
F,Consumer Discretionary,44,0,0.7219873150105708,0.3679159455435191
DFS,Financials,47,0,0.8899167437557817,0.4387723249000088
JEC,Industrials,23,10,0.5968379446640316,0.10033418232239567
V,Information Technology,38,0,0.9089615931721194,0.36246292960226373
FMC,Materials,4,10,0.8333333333333334,0.023439423298893345
MPC,Energy,3,10,1.0,0.0018897583921441501
TSCO,Consumer Discretionary,40,1,0.6935897435897436,0.3076156449142138
ALL,Financials,14,0,1.0,0.14255068480581407
ALK,Industrials,4,5,1.0,6.273733977503372E-4
ALB,Materials,1,2,0.0,3.152769835842837E-4
MMM,Industrials,61,0,0.725136612021858,0.4956378672503361
SO,Utilities,33,7,0.8674242424242424,0.03331388952284557
MMC,Financials,179,0,0.306885945640575,1.0
WEC,Utilities,43,7,0.7220376522702104,0.041634978383948834
DPS,Consumer Staples,25,8,0.7433333333333333,0.16079521841852848
IBM,Information Technology,37,0,0.8348348348348348,0.3275973900238016
BAX,Health Care,1,1,0.0,0.00881499024988604
CAT,Industrials,16,10,0.48333333333333334,0.045582504394267864
CAH,Health Care,21,1,0.6,0.10322384245451043
BAC,Financials,66,0,0.8228438228438228,0.5559087986797151
GIS,Consumer Staples,31,8,0.6193548387096774,0.19202724395065604
LB,Consumer Discretionary,1,1,0.0,3.119040394772721E-4
LH,Health Care,4,1,0.3333333333333333,0.007775970742960448
PGR,Financials,103,0,0.5617742242528079,0.7552828096903876
HIG,Financials,63,0,0.8458781362007168,0.5497669884103946
CELG,Health Care,8,1,0.5357142857142857,0.03239977617259311
A,Health Care,101,0,0.5714851485148514,0.7459645866670646
ABC,Health Care,1,1,0.0,0.0014515128403490003
ZION,Financials,46,0,0.9594202898550724,0.40883894692919237
STI,Financials,96,0,0.6710526315789473,0.7605145369865527
ANTM,Health Care,4,1,1.0,0.001027489552335179
ABT,Health Care,100,1,0.5284848484848484,0.7047201351874353
XOM,Energy,49,10,0.43112244897959184,0.22130113272605473
STX,Information Technology,1,13,0.0,1.3346560809370412E-4
STZ,Consumer Staples,9,8,0.8333333333333334,0.06500677928172383
BHI,Energy,21,10,0.8476190476190476,0.016633228692818913
CFG,Financials,32,0,0.9899193548387096,0.27945855494055966
RSG,Industrials,15,0,0.8,0.13072829328283464
PNW,Utilities,38,7,0.7994310099573257,0.038185715311544896
AVB,Real Estate,35,7,0.7378151260504202,0.03847445414955671
PNC,Financials,113,0,0.577433628318584,0.8418719441394547
GOOGL,Information Technology,2,3,1.0,2.817127803550289E-4
VFC,Consumer Discretionary,4,1,0.0,0.00485302955659657
AMZN,Consumer Discretionary,2,3,1.0,2.817127803550289E-4
AON,Financials,123,0,0.5152605624416899,0.8725422241315893
RAI,Consumer Staples,1,8,0.0,0.0010290764141617733
PRU,Financials,89,0,0.6703268641470889,0.6972967245727437
RF,Financials,50,0,0.9322448979591836,0.43514335492713685
CHD,Consumer Staples,61,8,0.5442622950819672,0.39513369998680237
CHK,Energy,4,10,0.8333333333333334,0.001970005488683735
L,Financials,83,0,0.66382603585072,0.6494339322660869
HRS,Information Technology,2,0,1.0,0.020162575656897726
HRL,Consumer Staples,6,8,1.0,0.015945910074778576
MRO,Energy,28,10,0.7116402116402116,0.020826452750088806
MRK,Health Care,17,1,0.875,0.1468592467831904
IPG,Consumer Discretionary,45,1,0.7585858585858586,0.3696210285803012
NLSN,Industrials,56,0,0.8487012987012987,0.5094979001627902
RHT,Information Technology,2,0,1.0,0.020341403074529606
RHI,Industrials,27,0,0.8917378917378918,0.2532794309736319
APH,Information Technology,55,0,0.8336700336700337,0.4930806355976038
ROST,Consumer Discretionary,9,1,0.3055555555555556,0.011526799194694987
APC,Energy,29,10,0.6600985221674877,0.021492587555600927
APA,Energy,23,10,0.7430830039525692,0.016423816682848282
APD,Materials,23,0,0.7035573122529645,0.19009045286951182
KSU,Industrials,3,4,1.0,0.0018437364520629824
WFC,Financials,137,0,0.4621082009446114,0.9277968297931639
IFF,Materials,27,0,0.7948717948717948,0.2298100673517485
CHTR,Consumer Discretionary,1,0,0.0,0.0039707387711659225
NVDA,Information Technology,1,11,0.0,0.0016613555744397952
MAA,Real Estate,21,7,0.9714285714285714,0.023907140616521952
AVGO,Information Technology,6,11,0.6666666666666666,0.005503243634201917
RTN,Industrials,11,0,1.0,0.10188806204656105
BMY,Health Care,3,1,1.0,0.017672678199221425
AFL,Financials,125,0,0.5092903225806452,0.8839967161934217
EL,Consumer Staples,2,8,1.0,0.017596389992305162
PAYX,Information Technology,123,0,0.4732773557243769,0.8341403746684534
OXY,Energy,37,10,0.5375375375375375,0.05110054448605921
SHW,Materials,2,0,1.0,0.019667027331070834
ED,Utilities,30,7,0.9149425287356322,0.02802045035779275
DISCK,Consumer Discretionary,3,9,1.0,7.242699992762599E-4
ORLY,Consumer Discretionary,16,1,0.75,0.11934724497392706
DLR,Real Estate,17,7,1.0,0.02022867352511174
CSX,Industrials,7,4,0.5238095238095238,0.03608689928259536
EW,Health Care,4,1,1.0,0.016840109907063444
ES,Utilities,31,7,0.8989247311827957,0.029581094244880115
STT,Financials,85,0,0.7151260504201681,0.6936153207696699
LUV,Industrials,4,5,1.0,6.273733977503372E-4
MUR,Energy,28,10,0.6693121693121693,0.028869167228738685
WYN,Consumer Discretionary,2,1,1.0,0.014697329092753458
LUK,Financials,8,0,0.9642857142857143,0.07271835863942855
UTX,Industrials,42,0,0.8339140534262486,0.37008941852878235
LNT,Utilities,37,7,0.8078078078078078,0.03726828365086041
ECL,Materials,61,0,0.6174863387978142,0.45847798149338687
SEE,Materials,3,6,0.3333333333333333,0.015045889282533653
MTD,Health Care,73,0,0.7355403348554034,0.6140481867765695
HAR,Consumer Discretionary,2,1,0.0,0.004134583688294751
PVH,Consumer Discretionary,1,1,0.0,2.0529093712050856E-4
DGX,Health Care,4,1,0.3333333333333333,0.012662524806570341
NUE,Materials,5,10,0.9,0.035754910808629366
LNC,Financials,112,0,0.5497104247104247,0.8115398471124833
EXPD,Industrials,14,0,0.7692307692307693,0.12159952734139669
UNP,Industrials,13,4,0.5256410256410257,0.07676277658217441
UDR,Real Estate,24,7,0.9094202898550725,0.02667201589201476
ETFC,Financials,48,0,0.9078014184397163,0.41817760782634555
DUK,Utilities,36,7,0.819047619047619,0.03631826235336378
XL,Financials,48,0,0.8617021276595744,0.4448228250642108
R,Industrials,28,0,0.783068783068783,0.245742036668692
CLX,Consumer Staples,46,8,0.4714975845410628,0.2330014231444376
DTE,Utilities,43,7,0.717607973421927,0.0413634654461309
FRT,Real Estate,43,7,0.6655592469545958,0.04889293209772363
UNH,Health Care,14,1,0.37362637362637363,0.028617791571311897
BBT,Financials,108,0,0.5976116303219107,0.8146976778489641
UNM,Financials,69,0,0.8226768968456948,0.5964581732261411
OMC,Consumer Discretionary,75,0,0.6533333333333333,0.5780865730882565
KO,Consumer Staples,32,8,0.6370967741935484,0.2030380556786457
VMC,Materials,5,6,0.6,0.04312754539198403
KR,Consumer Staples,1,1,0.0,0.0010539326086234045
KEY,Financials,57,0,0.8464912280701754,0.4747791806317466
SWKS,Information Technology,5,11,0.7,0.004564611536883051
KLAC,Information Technology,1,11,0.0,2.2394246317548777E-4
BF-B,Consumer Staples,15,8,0.7714285714285715,0.07446133831243598
SWK,Consumer Discretionary,91,0,0.6021978021978022,0.6894521087985677
PNR,Industrials,18,10,0.7908496732026143,0.11005161495011827
SWN,Energy,6,10,0.6666666666666666,0.0019047667559956615
AAL,Industrials,4,5,1.0,6.273733977503372E-4
DD,Materials,1,10,0.0,0.0010264001335587752
DE,Industrials,3,10,0.6666666666666666,0.019943090041394388
WBA,Consumer Staples,2,1,0.0,0.002805648512873961
TGT,Consumer Discretionary,3,1,1.0,0.008769195479137026
HBAN,Financials,87,0,0.7062282812082331,0.700187359131779
PCG,Utilities,36,7,0.8269841269841269,0.03642382592123175
AKAM,Information Technology,1,1,0.0,1.6993599218189268E-4
DHI,Consumer Discretionary,3,8,0.6666666666666666,7.473288679541056E-4
MLM,Materials,3,6,0.0,0.007956876831024046
INTU,Information Technology,16,0,0.85,0.15156169877524694
ALXN,Health Care,3,1,1.0,0.00985633109901437
SLG,Real Estate,40,7,0.5923076923076923,0.07355503497796874
DHR,Industrials,129,0,0.4654796511627907,0.8698087180018472
SLB,Energy,31,10,0.6580645161290323,0.03471981609353251
AJG,Financials,43,0,0.9346622369878184,0.4178491485560515
MCO,Financials,53,0,0.8766328011611031,0.47874356113363964
JPM,Financials,131,0,0.4876100998238403,0.9067215648919776
MCD,Consumer Discretionary,12,8,0.9393939393939394,0.10780821633240842
PBCT,Financials,70,0,0.8285714285714286,0.6066010370125231
VTR,Real Estate,16,7,0.9916666666666667,0.019823787496965447
AXP,Financials,1,0,0.0,0.005453848642124598
EXC,Utilities,18,7,1.0,0.01528105010289444
AAPL,Information Technology,1,0,0.0,0.010601594159750607
SRCL,Industrials,1,1,0.0,2.0529093712050856E-4
WU,Information Technology,2,0,1.0,0.016842026309673033
EXR,Real Estate,23,7,0.9011857707509882,0.027827863987970596
WY,Real Estate,12,7,0.9090909090909091,0.03099132041394366
VNO,Real Estate,57,7,0.4317042606516291,0.16566833996508684
AWK,Utilities,37,7,0.8078078078078078,0.03749163586672019
HST,Real Estate,6,7,0.6666666666666666,0.010997591865745563
RIG,Energy,12,10,0.9696969696969697,0.008715982007903106
HSY,Consumer Staples,2,8,1.0,0.003270930725077321
DLPH,Consumer Discretionary,15,0,0.7047619047619048,0.11321241967662779
FBHS,Industrials,2,8,1.0,9.161096171257827E-4
CTSH,Information Technology,66,0,0.7501165501165501,0.5635787943158903
GPN,Information Technology,1,0,0.0,0.011372723880877697
HAL,Energy,30,10,0.6666666666666666,0.024139254241046626
FITB,Financials,78,0,0.7668997668997669,0.6483001476278197
EQR,Real Estate,37,7,0.7012012012012012,0.04618617576995708
EQT,Energy,7,10,0.6190476190476191,0.003051033881700348
