id,0,degree,modularity_class,eigencentrality,clustering
CRM,Information Technology,1,23,9.264117669434891E-4,0.0
NWSA,Consumer Discretionary,2,5,0.01938315421153786,1.0
PX,Materials,8,25,0.07710942770630887,0.8571428571428571
PG,Consumer Staples,4,22,0.0016373024880601357,0.6666666666666666
PH,Industrials,53,25,0.6497382580617383,0.6161103047895501
PM,Consumer Staples,10,22,0.007603212747335301,0.37777777777777777
EFX,Industrials,11,23,0.025339033965921746,0.2727272727272727
C,Financials,73,5,0.9138302431848759,0.5981735159817352
MHK,Consumer Discretionary,25,23,0.18452863866641475,0.4166666666666667
FOX,Consumer Discretionary,3,11,0.0012059854754448097,1.0
QCOM,Information Technology,2,23,0.0024574613465517038,0.0
ITW,Industrials,56,25,0.5640842427489033,0.4396103896103896
MOS,Materials,1,18,2.1229114732236037E-4,0.0
PSA,Real Estate,5,1,0.0029663446441948594,0.8
PSX,Energy,11,3,0.12464570136572864,0.43636363636363634
MCHP,Information Technology,9,23,0.023206587694734573,0.8611111111111112
ETR,Utilities,25,22,0.036790977977946324,0.93
COP,Energy,21,19,0.025946593030176015,0.8714285714285714
DVN,Energy,24,19,0.036841773561533404,0.7282608695652174
KMB,Consumer Staples,3,22,0.0010178380684782021,0.3333333333333333
PEP,Consumer Staples,16,22,0.00834499156232797,0.225
KMI,Energy,15,19,0.019537218650835703,0.9523809523809523
GWW,Industrials,3,25,0.022161090349156243,1.0
FISV,Information Technology,10,23,0.012299592503620938,0.24444444444444444
COG,Energy,3,13,7.560825998454406E-4,1.0
COF,Financials,50,5,0.7388160251327753,0.889795918367347
COH,Consumer Discretionary,1,6,2.2986037226050253E-4,0.0
TMK,Financials,61,5,0.8264810718402794,0.719672131147541
ETN,Industrials,38,25,0.3997304393047561,0.5647226173541963
BCR,Health Care,4,23,0.0011440213049343424,0.6666666666666666
KMX,Consumer Discretionary,2,25,0.010790024786973147,1.0
DLTR,Consumer Discretionary,1,14,2.1229114732236037E-4,0.0
AAL,Industrials,5,12,0.016700861838967785,0.6
CI,Health Care,2,17,5.19340892816006E-4,1.0
HES,Energy,21,19,0.025946593030176015,0.8714285714285714
CB,Financials,14,25,0.14559443736873118,0.6923076923076923
CA,Information Technology,2,23,0.022871095341112608,1.0
CF,Materials,1,18,2.1229114732236037E-4,0.0
WAT,Health Care,5,23,0.011489188232503856,0.7
TDC,Information Technology,2,5,0.03240168817761007,1.0
SBUX,Consumer Discretionary,2,23,5.489985928486235E-4,1.0
PLD,Real Estate,18,1,0.009796982275452882,0.47058823529411764
CL,Consumer Staples,7,22,0.0032164433990264176,0.6190476190476191
MKC,Consumer Staples,7,22,0.003961271082433035,0.3333333333333333
CVX,Energy,20,19,0.02600934410046752,0.7789473684210526
BXP,Real Estate,14,1,0.008659269320293051,0.7362637362637363
AIV,Real Estate,14,1,0.007991798355012738,0.6263736263736264
RCL,Consumer Discretionary,1,20,2.1229114732236037E-4,0.0
LOW,Consumer Discretionary,1,23,3.373746323395428E-4,0.0
AIG,Financials,53,5,0.7669141077132022,0.8425253991291727
PPG,Materials,24,25,0.25374193882337653,0.5869565217391305
NSC,Industrials,6,5,0.07738648352038142,0.7333333333333333
PPL,Utilities,26,22,0.037074479420313805,0.8369230769230769
NDAQ,Financials,2,2,4.2602044506619743E-4,0.0
GOOG,Information Technology,4,23,0.0011473887633499493,0.5
IP,Materials,6,25,0.06013848239861698,0.4
IR,Industrials,76,25,0.8074980346958877,0.443859649122807
URI,Industrials,7,5,0.09076453521907943,0.7142857142857143
IRM,Real Estate,2,1,0.0017200227785923417,1.0
MTB,Financials,48,5,0.7203117623741893,0.925531914893617
UTX,Industrials,7,25,0.07497385684649249,1.0
MTD,Health Care,9,23,0.04217518973837157,0.5
PWR,Industrials,8,5,0.11298351904117823,0.8928571428571429
WDC,Information Technology,2,23,4.52896683028014E-4,0.0
BA,Industrials,2,25,0.008212416422848338,0.0
BK,Financials,55,5,0.7878326178207355,0.8188552188552188
CCL,Consumer Discretionary,1,20,2.1229114732236037E-4,0.0
CCI,Real Estate,2,1,0.0010149763526479227,1.0
TIF,Consumer Discretionary,1,25,2.3430558279021076E-4,0.0
ALLE,Industrials,20,23,0.14445262803052425,0.46842105263157896
LYB,Materials,15,25,0.12516073674032097,0.5333333333333333
KHC,Consumer Staples,4,22,0.0019005902663995365,0.8333333333333334
D,Utilities,27,22,0.038115861628789334,0.7977207977207977
NAVI,Financials,28,5,0.43279248241565854,0.9391534391534392
VZ,Telecommunications Services,1,21,2.1229114732236037E-4,0.0
T,Telecommunications Services,1,21,2.1229114732236037E-4,0.0
VRSK,Industrials,1,23,5.784773835088104E-4,0.0
CINF,Financials,16,25,0.11610489433608347,0.475
NTRS,Financials,65,5,0.8745906048033609,0.7014423076923076
CXO,Energy,21,19,0.025467343740545698,0.8523809523809524
FLS,Industrials,49,25,0.5576832570925426,0.5544217687074829
FLR,Industrials,10,25,0.12172982439196409,0.8
REGN,Health Care,3,7,8.731634440727864E-4,0.6666666666666666
HD,Consumer Discretionary,3,23,0.005180524356747757,0.3333333333333333
LKQ,Consumer Discretionary,2,23,0.03438827361467017,1.0
PEG,Utilities,25,22,0.036790977977946324,0.93
INTC,Information Technology,9,23,0.052424594058320687,0.5833333333333334
NWS,Consumer Discretionary,2,5,0.019383154211537863,1.0
SCG,Utilities,26,22,0.0376576321448041,0.8615384615384616
AME,Industrials,49,5,0.6937788836293498,0.7780612244897959
AMG,Financials,86,5,0.9635856153729021,0.4746922024623803
DOW,Materials,2,25,0.0029115461697018343,0.0
LLL,Industrials,3,10,0.0012766113528451845,0.6666666666666666
NWL,Consumer Discretionary,4,23,0.014998500380808202,0.5
AMP,Financials,64,5,0.8663440810247046,0.7103174603174603
TMO,Health Care,17,23,0.12477592605815283,0.36764705882352944
AMT,Real Estate,4,1,0.0024132320763900136,0.16666666666666666
LRCX,Information Technology,12,23,0.039014400805604414,0.5757575757575758
O,Real Estate,12,22,0.014147906633594807,0.5
UPS,Industrials,14,25,0.09867025241777984,0.43956043956043955
TRV,Financials,7,25,0.04049992283889353,0.7619047619047619
MPC,Energy,3,3,0.0031829606050497203,1.0
MDLZ,Consumer Staples,4,22,0.0021984554367255097,0.5
UA,Consumer Discretionary,1,0,2.1229114732236037E-4,0.0
IVZ,Financials,91,5,0.9719674225726592,0.4293040293040293
NEE,Utilities,24,22,0.03527511439928298,0.9130434782608695
ACN,Information Technology,1,25,0.0021444459407376783,0.0
NI,Utilities,25,22,0.036682082059778555,0.9133333333333333
TEL,Information Technology,60,23,0.5952961720967328,0.41129943502824856
RRC,Energy,3,13,7.560825998454406E-4,1.0
FAST,Industrials,8,25,0.07492451577861581,0.8214285714285714
NBL,Energy,21,19,0.026017383392927175,0.8809523809523809
HP,Energy,27,19,0.055695683041698564,0.6239316239316239
LLTC,Information Technology,1,23,0.0012319179203352864,0.0
ADS,Information Technology,1,24,2.1229114732236037E-4,0.0
ADP,Information Technology,16,25,0.09377332127917101,0.3416666666666667
DNB,Industrials,2,23,0.016414830121226052,1.0
BBBY,Consumer Discretionary,2,25,6.471247210051289E-4,0.0
MCK,Health Care,3,7,8.155688136352227E-4,0.6666666666666666
ADI,Information Technology,15,23,0.04418529773763254,0.4666666666666667
XEC,Energy,19,19,0.023177929028028878,0.8771929824561403
XEL,Utilities,27,22,0.038159617038925585,0.8233618233618234
LEN,Consumer Discretionary,11,23,0.11087628164192066,0.5454545454545454
EBAY,Information Technology,1,24,2.1229114732236037E-4,0.0
MET,Financials,43,5,0.6617839183832119,0.9689922480620154
USB,Financials,71,5,0.9040649578550762,0.6221327967806841
AZO,Consumer Discretionary,2,15,4.2602044506619743E-4,0.0
PDCO,Health Care,1,23,2.92173543792541E-4,0.0
PCAR,Industrials,67,5,0.8308267376698875,0.5979194934418816
TXN,Information Technology,15,23,0.0435407153631226,0.4380952380952381
DAL,Industrials,4,12,0.0014176641160635033,1.0
SRE,Utilities,24,22,0.03597408886689768,0.9710144927536232
