id,0,degree,modularity_class,clustering,eigencentrality
MCO,Financials,1,0,0.0,3.931999244200076E-4
AXP,Financials,6,13,0.6,0.10222830310005081
RTN,Industrials,4,10,1.0,0.008246917625463172
EOG,Energy,10,1,0.35555555555555557,0.013062382730310152
BA,Industrials,1,10,0.0,0.0018584597504528132
CPB,Consumer Staples,2,18,1.0,0.0019288311035776488
SJM,Consumer Staples,2,18,0.0,0.0019065496591718246
BK,Financials,56,13,0.40324675324675324,0.8347441280420673
VZ,Telecommunications Services,1,6,0.0,3.931999244200076E-4
CCL,Consumer Discretionary,1,2,0.0,3.931999244200076E-4
NEM,Materials,1,26,0.0,4.426274169038926E-4
EXR,Real Estate,14,4,1.0,0.10312928238835399
SWN,Energy,2,25,1.0,0.001011487100827551
STX,Information Technology,1,28,0.0,3.931999244200076E-4
GM,Consumer Discretionary,2,10,0.0,0.0348308458137378
DGX,Health Care,1,3,0.0,3.931999244200076E-4
EXC,Utilities,1,24,0.0,3.931999244200076E-4
GOOG,Information Technology,1,5,0.0,3.931999244200076E-4
VNO,Real Estate,23,4,0.7351778656126482,0.15837091563085492
XRAY,Health Care,3,13,1.0,0.0830730732148989
GOOGL,Information Technology,1,5,0.0,3.931999244200076E-4
LUK,Financials,4,13,1.0,0.11148275002867694
RAI,Consumer Staples,3,18,0.3333333333333333,0.005054202362146917
PRU,Financials,31,13,0.6537634408602151,0.5480407719596165
BWA,Consumer Discretionary,13,10,0.6410256410256411,0.2261880809839352
RF,Financials,26,13,0.7076923076923077,0.40779545876949663
AWK,Utilities,8,22,1.0,0.07412790097601868
UAL,Industrials,3,31,1.0,0.0015955868121136764
HST,Real Estate,21,4,0.4238095238095238,0.26847427972563465
JNJ,Health Care,3,18,0.3333333333333333,0.005999696371590403
HSY,Consumer Staples,7,18,0.42857142857142855,0.00911158329405782
DLPH,Consumer Discretionary,5,10,1.0,0.10844820235725278
WM,Industrials,2,10,0.0,0.01879821108738573
SPG,Real Estate,23,4,0.7075098814229249,0.14978593563107148
WEC,Utilities,28,22,0.7301587301587301,0.22148881425847738
GS,Financials,23,13,0.758893280632411,0.43966675765937746
D,Utilities,20,22,0.9736842105263158,0.1639143361652399
FITB,Financials,16,13,0.825,0.2706785215179281
EQR,Real Estate,15,4,0.9333333333333333,0.10111746573971969
L,Financials,63,13,0.30977982590885816,0.8385744066186204
IPG,Consumer Discretionary,1,10,0.0,0.01838660945898011
NWL,Consumer Discretionary,2,10,1.0,0.04918353917654676
GE,Industrials,1,10,0.0,0.012296805765515142
MRO,Energy,9,1,0.4722222222222222,0.05100373293373533
T,Telecommunications Services,1,6,0.0,3.931999244200076E-4
PDCO,Health Care,1,18,0.0,0.002450439541811135
HSIC,Health Care,4,18,0.3333333333333333,0.06236015365373675
XLNX,Information Technology,4,20,1.0,0.006321336187594241
HAS,Consumer Discretionary,1,8,0.0,3.931999244200076E-4
LMT,Industrials,6,10,0.7333333333333333,0.026630479939078588
BRK-B,Financials,57,13,0.34523809523809523,0.7984927262424392
HAL,Energy,5,1,0.8,0.006322999159177188
MAS,Industrials,6,7,0.9333333333333333,0.02200008470947654
MAR,Consumer Discretionary,4,10,0.6666666666666666,0.06845886570256755
MAT,Consumer Discretionary,1,8,0.0,3.931999244200076E-4
PHM,Consumer Discretionary,6,7,0.9333333333333333,0.022000084709476543
SNA,Consumer Discretionary,27,10,0.5356125356125356,0.3831898015468799
CINF,Financials,45,13,0.402020202020202,0.6610506843424367
XEC,Energy,4,1,1.0,0.00392181006255006
EQT,Energy,3,25,0.6666666666666666,0.0014178164425669455
NTRS,Financials,23,13,0.6561264822134387,0.41936196984198176
MAA,Real Estate,15,4,0.9238095238095239,0.10535921582714185
SYK,Health Care,8,18,0.21428571428571427,0.09540960144032562
MAC,Real Estate,34,4,0.5418894830659536,0.2551508065544902
KIM,Real Estate,26,4,0.556923076923077,0.24511286134002222
ROST,Consumer Discretionary,1,21,0.0,3.931999244200076E-4
CCI,Real Estate,1,4,0.0,0.0010099357332557747
PM,Consumer Staples,2,18,1.0,0.0011870373614097673
APD,Materials,1,9,0.0,3.931999244200076E-4
CXO,Energy,5,1,0.9,0.006266650774907749
KSU,Industrials,15,10,0.638095238095238,0.2367117250126574
AEP,Utilities,21,22,0.9476190476190476,0.16896306526275448
AES,Utilities,2,22,1.0,0.020600165488831385
BEN,Financials,23,13,0.6719367588932806,0.4220967423056126
AET,Health Care,4,30,0.6666666666666666,0.0020737458617359613
CMI,Industrials,9,10,0.7777777777777778,0.11013937269750367
DISCA,Consumer Discretionary,1,16,0.0,3.931999244200076E-4
WFC,Financials,27,13,0.6381766381766382,0.4478833554627156
FLS,Industrials,9,10,0.8055555555555556,0.13096256843869708
FLR,Industrials,25,10,0.4766666666666667,0.3364854510259659
C,Financials,32,13,0.6270161290322581,0.5578933028801041
DTE,Utilities,26,22,0.796923076923077,0.20980070654477065
EMN,Materials,2,10,1.0,0.04409957661394637
AMAT,Information Technology,4,20,0.8333333333333334,0.006211724299161853
IFF,Materials,24,10,0.6594202898550725,0.4232503626060986
AEE,Utilities,25,22,0.8366666666666667,0.2073269877725374
KLAC,Information Technology,4,20,0.8333333333333334,0.006211724299161853
EMR,Industrials,43,10,0.4186046511627907,0.6062540169996405
ZION,Financials,15,13,0.8571428571428571,0.2272004931603809
CMS,Utilities,27,22,0.7692307692307693,0.21491822592885076
PCG,Utilities,19,22,0.9941520467836257,0.1575143090531721
HD,Consumer Discretionary,1,11,0.0,3.931999244200076E-4
SBUX,Consumer Discretionary,2,10,1.0,0.059179144491567345
UPS,Industrials,1,12,0.0,3.931999244200076E-4
TMK,Financials,48,13,0.41932624113475175,0.7173371085507403
DHI,Consumer Discretionary,5,7,1.0,0.007706193050289624
VLO,Energy,3,23,1.0,0.0015387104422896934
NWS,Consumer Discretionary,1,14,0.0,3.931999244200076E-4
TSO,Energy,3,23,1.0,0.0015387104422896934
HUM,Health Care,2,30,1.0,0.0011401566764881442
SCG,Utilities,34,22,0.5597147950089126,0.25531529509290385
SHW,Materials,1,15,0.0,3.931999244200076E-4
AME,Industrials,17,10,0.7279411764705882,0.28027249534488546
APH,Information Technology,1,15,0.0,3.931999244200076E-4
AMG,Financials,46,10,0.39420289855072466,0.6766403658479542
COL,Industrials,7,10,0.6666666666666666,0.07102726721579923
PG,Consumer Staples,3,18,1.0,0.003179456213082552
LLL,Industrials,8,10,0.5714285714285714,0.047049144548289436
ROP,Industrials,3,10,1.0,0.0605208417471551
AMP,Financials,100,10,0.16,1.0
PH,Industrials,26,10,0.5230769230769231,0.35693467918615657
AMT,Real Estate,3,4,0.3333333333333333,0.01575762167961164
LRCX,Information Technology,3,20,1.0,0.004370640536504958
AFL,Financials,2,13,1.0,0.042921877044155045
EL,Consumer Staples,1,18,0.0,0.0013069974815940746
PAYX,Information Technology,1,18,0.0,0.002026119040292768
GD,Industrials,3,10,1.0,0.0053861033788230725
MHK,Consumer Discretionary,6,7,0.9333333333333333,0.022000084709476543
SCHW,Financials,17,13,0.7794117647058824,0.2986350196299271
ED,Utilities,27,22,0.7578347578347578,0.21287232609139142
K,Consumer Staples,7,18,0.6190476190476191,0.00955996438654887
DISCK,Consumer Discretionary,1,16,0.0,3.931999244200076E-4
FOX,Consumer Discretionary,5,17,0.6,0.008023035128544645
O,Real Estate,13,4,1.0,0.09979429485023991
MSI,Information Technology,1,13,0.0,0.017384512494326074
HCA,Health Care,1,19,0.0,3.931999244200076E-4
CSX,Industrials,3,10,1.0,0.016818728066856282
BLK,Financials,42,13,0.45528455284552843,0.6653480928951706
APC,Energy,9,1,0.4722222222222222,0.013500401132026774
FTI,Energy,5,1,0.6,0.009491812236144486
MLM,Materials,2,10,0.0,0.029727991962952224
HCN,Real Estate,33,4,0.5435606060606061,0.24368960184489796
BDX,Health Care,3,18,0.0,0.0063124585349051965
ES,Utilities,33,22,0.5814393939393939,0.24930526549308257
TRV,Financials,14,13,0.8131868131868132,0.25532700179960593
STT,Financials,27,13,0.7207977207977208,0.5090526066444536
AVY,Materials,3,10,1.0,0.05230479032728859
MO,Consumer Staples,3,18,0.3333333333333333,0.002401125872648727
PSA,Real Estate,23,4,0.6996047430830039,0.16243126711050296
CBG,Real Estate,1,10,0.0,0.014780066979121837
NOC,Industrials,8,10,0.5,0.03871450789767209
CBS,Consumer Discretionary,4,17,0.6666666666666666,0.03836279576795815
PSX,Energy,3,23,1.0,0.0015387104422896934
UHS,Health Care,1,19,0.0,3.931999244200076E-4
MS,Financials,23,13,0.7905138339920948,0.44280620123424
AON,Financials,2,13,1.0,0.039249407900116634
MCHP,Information Technology,4,20,1.0,0.006321336187594241
TJX,Consumer Discretionary,1,21,0.0,3.931999244200076E-4
NOV,Energy,4,1,1.0,0.005517637587131468
AVB,Real Estate,10,4,0.9777777777777777,0.06126422098247547
ETR,Utilities,13,22,1.0,0.11233427166880432
COP,Energy,6,1,0.4,0.03523461938068113
HES,Energy,1,1,0.0,0.0011966213253128723
DVN,Energy,2,1,1.0,0.0023679178565248265
KMB,Consumer Staples,5,18,0.8,0.00792671670877142
LUV,Industrials,3,31,1.0,0.0015955868121136768
MUR,Energy,1,1,0.0,0.0016948958006122504
NEE,Utilities,21,22,0.9380952380952381,0.17356573106131087
PEP,Consumer Staples,4,18,1.0,0.007273843167393339
CHD,Consumer Staples,2,18,1.0,0.002342620506588742
GWW,Industrials,1,27,0.0,3.931999244200076E-4
MPC,Energy,3,23,1.0,0.0015387104422896934
FISV,Information Technology,3,10,1.0,0.07185032205633934
FE,Utilities,1,24,0.0,3.931999244200076E-4
COG,Energy,3,25,0.6666666666666666,0.0014178164425669455
COF,Financials,3,13,0.3333333333333333,0.019488821592238893
WYN,Consumer Discretionary,2,10,1.0,0.03705275687158052
PEG,Utilities,25,22,0.82,0.1971930507922641
ETN,Industrials,24,10,0.6630434782608695,0.3874079946317829
NI,Utilities,21,22,0.9619047619047619,0.1698996878050028
XOM,Energy,1,1,0.0,6.065048615962223E-4
TEL,Information Technology,5,10,0.6,0.078746336343913
GGP,Real Estate,11,4,1.0,0.08629288751922053
FCX,Materials,2,26,0.0,7.926766796220382E-4
LNT,Utilities,31,22,0.6021505376344086,0.24392382758992506
ECL,Materials,4,10,1.0,0.08551161853553622
RRC,Energy,2,25,1.0,0.001011487100827551
FAST,Industrials,1,27,0.0,3.931999244200076E-4
JCI,Industrials,2,10,1.0,0.04343727697691786
WDC,Information Technology,1,28,0.0,3.931999244200076E-4
SLB,Energy,12,1,0.3787878787878788,0.07155415543771276
WHR,Consumer Discretionary,1,7,0.0,0.002547485527182516
BXP,Real Estate,19,4,0.8654970760233918,0.12522132878126085
AVGO,Information Technology,1,29,0.0,3.931999244200076E-4
NUE,Materials,1,26,0.0,4.426274169038926E-4
HP,Energy,6,1,0.6,0.0074348596595571045
LNC,Financials,36,13,0.6063492063492063,0.5864958117995706
UNP,Industrials,8,10,0.7142857142857143,0.13090542454906964
BHI,Energy,5,1,0.7,0.007862478299489153
CI,Health Care,3,30,1.0,0.0016602387665142664
DUK,Utilities,27,22,0.7777777777777778,0.2189229909530199
ADP,Information Technology,4,18,0.16666666666666666,0.04995093384428825
SRE,Utilities,21,22,0.9,0.17592306361330598
HCP,Real Estate,23,4,0.6679841897233202,0.17677060854227153
CB,Financials,19,13,0.6842105263157895,0.3492979496557269
CA,Information Technology,1,10,0.0,0.03440347219742489
NBL,Energy,11,1,0.4,0.05263010483072474
DFS,Financials,9,13,0.6666666666666666,0.17923964548617038
JEC,Industrials,12,10,0.7121212121212122,0.21122451004765175
VTR,Real Estate,30,4,0.5517241379310345,0.21514589798347666
CLX,Consumer Staples,8,18,0.5357142857142857,0.010179806476887276
CMA,Financials,25,13,0.7166666666666667,0.4082850048743458
FRT,Real Estate,31,4,0.5612903225806452,0.23034530142403045
UNH,Health Care,4,30,0.6666666666666666,0.0020737458617359613
PWR,Industrials,4,10,0.6666666666666666,0.05596503730516834
BBT,Financials,24,13,0.7065217391304348,0.4074081684882411
UNM,Financials,27,13,0.7150997150997151,0.4800628532353807
ADI,Information Technology,10,20,0.3111111111111111,0.07024261764277587
ALL,Financials,20,13,0.7473684210526316,0.37456594294174966
ALK,Industrials,3,31,1.0,0.0015955868121136768
VIAB,Consumer Discretionary,3,17,1.0,0.003959323570533234
LEG,Industrials,35,10,0.3630252100840336,0.4270403494026854
XEL,Utilities,23,22,0.8972332015810277,0.18447769298688327
KO,Consumer Staples,1,18,0.0,0.0013069974815940746
VMC,Materials,4,10,0.16666666666666666,0.047429644552734566
LEN,Consumer Discretionary,6,7,0.9333333333333333,0.022000084709476543
MMM,Industrials,7,10,0.9523809523809523,0.13993086227455553
MET,Financials,29,13,0.7167487684729064,0.4954923776394979
PLD,Real Estate,19,4,0.8654970760233918,0.13166705995382635
SO,Utilities,28,22,0.7407407407407407,0.2219946104996406
MDT,Health Care,1,18,0.0,0.003606959500902168
KEY,Financials,27,13,0.6894586894586895,0.44485858302827314
ITW,Industrials,24,10,0.6920289855072463,0.41588112469553973
FBHS,Industrials,9,7,0.4444444444444444,0.05788317954485122
CL,Consumer Staples,13,18,0.24358974358974358,0.012799960056333898
MMC,Financials,20,13,0.7315789473684211,0.3733695853476401
LOW,Consumer Discretionary,1,11,0.0,3.931999244200076E-4
FMC,Materials,1,10,0.0,0.013116559809748886
BF-B,Consumer Staples,14,18,0.21978021978021978,0.09516896345826295
SWKS,Information Technology,1,29,0.0,3.931999244200076E-4
RSG,Industrials,1,10,0.0,0.001000005915294674
MKC,Consumer Staples,1,18,0.0,9.530048193954676E-4
USB,Financials,6,13,0.8666666666666667,0.11837632881745265
CVX,Energy,3,1,0.3333333333333333,0.004424447454933903
AIZ,Financials,5,13,1.0,0.124653111736501
AAL,Industrials,1,31,0.0,5.629082084764455E-4
DD,Materials,3,10,0.3333333333333333,0.057017723691728396
AIV,Real Estate,18,4,0.9019607843137255,0.12161317354419827
ETFC,Financials,1,13,0.0,0.010065717811556863
RCL,Consumer Discretionary,1,2,0.0,3.931999244200076E-4
LLTC,Information Technology,7,20,0.47619047619047616,0.04091421231395922
BAC,Financials,9,13,0.9444444444444444,0.1719383690356991
DOV,Industrials,16,10,0.8333333333333334,0.2581785526636685
FDX,Industrials,1,12,0.0,3.931999244200076E-4
GIS,Consumer Staples,7,18,0.47619047619047616,0.009126578663036762
AIG,Financials,13,13,0.8846153846153846,0.27246808341044887
TWX,Consumer Discretionary,4,17,0.5,0.06441093746635201
PCAR,Industrials,37,10,0.5,0.5588876751849856
DIS,Consumer Discretionary,7,17,0.42857142857142855,0.059117865954942214
TXN,Information Technology,4,20,1.0,0.006321336187594241
F,Consumer Discretionary,1,10,0.0,0.0015342201594312525
PPG,Materials,1,10,0.0,0.014204610444389582
XL,Financials,13,13,0.8333333333333334,0.26092554946774466
HBAN,Financials,25,13,0.7166666666666667,0.4092732072096481
DAL,Industrials,4,31,0.5,0.0019524979793850614
BIIB,Health Care,1,32,0.0,4.426274169038926E-4
NSC,Industrials,7,10,0.7619047619047619,0.10713145688298031
LH,Health Care,1,3,0.0,3.931999244200076E-4
PPL,Utilities,21,22,0.9619047619047619,0.1698996878050028
GILD,Health Care,2,32,0.0,7.926766796220382E-4
PGR,Financials,5,13,1.0,0.08330556480653782
HIG,Financials,28,13,0.7142857142857143,0.5246414017245244
CELG,Health Care,1,32,0.0,4.426274169038926E-4
PXD,Energy,5,1,0.9,0.006266650774907749
EIX,Utilities,18,22,1.0,0.15103262532596953
HOG,Consumer Discretionary,2,10,1.0,0.057070255077217504
ESS,Real Estate,20,4,0.8421052631578947,0.13519729047208637
CNP,Utilities,16,22,1.0,0.13722286036964185
DOW,Materials,1,10,0.0,0.002244467906797222
HON,Industrials,40,10,0.38461538461538464,0.5411285082541871
IP,Materials,1,10,0.0,0.014780066979121837
IR,Industrials,19,10,0.7719298245614035,0.3222983227038654
STI,Financials,18,13,0.7973856209150327,0.28014264332527256
URI,Industrials,2,10,1.0,0.046700277962940066
ANTM,Health Care,3,30,1.0,0.0016602387665142664
ROK,Industrials,20,10,0.5947368421052631,0.2795132991674796
SPGI,Financials,1,0,0.0,3.931999244200076E-4
MTB,Financials,16,13,0.9083333333333333,0.2498020828969759
UTX,Industrials,23,10,0.5138339920948617,0.353679282196125
SLG,Real Estate,23,4,0.7351778656126482,0.16542578935253555
TROW,Financials,31,13,0.5741935483870968,0.5220134175171635
DHR,Industrials,15,10,0.6666666666666666,0.26332791303175457
MTD,Health Care,6,10,0.8666666666666667,0.12917993588527177
AJG,Financials,3,13,1.0,0.06904657898485597
UDR,Real Estate,20,4,0.8421052631578947,0.13519729047208637
JPM,Financials,25,13,0.76,0.4530515323007464
PFG,Financials,50,13,0.4057142857142857,0.7447278622011169
PNR,Industrials,9,10,0.9722222222222222,0.17212183395301991
PNW,Utilities,27,22,0.7777777777777778,0.2189229909530199
PBCT,Financials,4,13,1.0,0.06612183075661462
ZBH,Health Care,1,18,0.0,0.003606959500902168
R,Industrials,1,10,0.0,0.011683975255834943
IVZ,Financials,27,13,0.717948717948718,0.5192011873815965
NWSA,Consumer Discretionary,1,14,0.0,3.931999244200076E-4
FOXA,Consumer Discretionary,4,17,0.8333333333333334,0.0056039741754778626
PNC,Financials,24,13,0.7463768115942029,0.40774016036846644
PX,Materials,1,9,0.0,3.931999244200076E-4
