id,0,degree,modularity_class,clustering,eigencentrality
AGN,Health Care,12,2,0.8787878787878788,0.03663501851469846
EOG,Energy,208,0,0.9361761426978819,0.6451758203895844
CPB,Consumer Staples,1,1,0.0,0.0025684238961739465
IDXX,Health Care,314,0,0.8224903848110539,0.9127986431368373
SIG,Consumer Discretionary,319,0,0.8007334240255516,0.9146702783327757
JWN,Consumer Discretionary,252,2,0.8226459242395497,0.7298971525617014
JBHT,Industrials,225,0,0.9337698412698413,0.6988109541224675
TAP,Consumer Staples,158,1,0.9714585181004596,0.5053917698088388
BWA,Consumer Discretionary,217,0,0.9531916709336065,0.6819221228852095
UAL,Industrials,4,2,1.0,0.0033885259893757735
UAA,Consumer Discretionary,36,2,0.8285714285714286,0.09378069038354094
AAPL,Information Technology,15,2,0.9238095238095239,0.04223814820145943
SPG,Real Estate,340,1,0.7593093874718029,0.9510372473870095
FIS,Information Technology,322,0,0.8112265629535033,0.9301205680092245
GT,Consumer Discretionary,280,0,0.876036866359447,0.8385357754009408
GS,Financials,233,0,0.9468699126831434,0.7275692750884822
NWL,Consumer Discretionary,76,2,0.9926315789473684,0.2501868565031849
GE,Industrials,331,1,0.7953309530348806,0.9467875362641148
GD,Industrials,312,0,0.823377854728337,0.9070120381825706
VAR,Health Care,306,0,0.8286938819243544,0.8924284140447272
GM,Consumer Discretionary,228,0,0.9606615658087951,0.7181840841824768
BRK-B,Financials,352,1,0.7306073556073556,0.966690714641618
MAS,Industrials,266,0,0.9108526032061285,0.8120478224581155
MAR,Consumer Discretionary,334,0,0.7804211397025769,0.947188307088741
MAT,Consumer Discretionary,325,1,0.7759734093067426,0.9183011938462674
SNA,Consumer Discretionary,394,2,0.6188372663747562,1.0
FOXA,Consumer Discretionary,292,1,0.8450548415948783,0.8597870055873186
SNI,Consumer Discretionary,271,0,0.8950662839961733,0.8218480387133147
MAA,Real Estate,286,1,0.8643602012023065,0.8513330152829406
MAC,Real Estate,346,1,0.7464689620507665,0.9605047805916627
JNJ,Health Care,248,1,0.8734491315136477,0.73956273336965
TSN,Consumer Staples,12,1,0.9848484848484849,0.03832135912199149
AFL,Financials,332,1,0.7857168856695664,0.9443716888023302
BEN,Financials,364,2,0.706490479217752,0.9849020259936312
CMI,Industrials,349,2,0.7093501959621908,0.9433205270768055
EL,Consumer Staples,11,2,1.0,0.03744154117549036
CMG,Consumer Discretionary,4,2,0.8333333333333334,0.009784771423283047
LMT,Industrials,47,1,0.9981498612395929,0.15306274493494587
CME,Financials,256,0,0.9257046568627451,0.7898669052948999
CMA,Financials,255,0,0.903720858422109,0.7761780797561368
CMS,Utilities,267,1,0.8412322942186928,0.781423161683844
TSS,Information Technology,275,0,0.8941207697412077,0.8330440857538771
VLO,Energy,211,0,0.9342812006319116,0.6542668820430448
HUM,Health Care,15,1,1.0,0.0463448039964466
PCLN,Consumer Discretionary,16,2,0.85,0.04462373925295625
TGNA,Consumer Discretionary,225,0,0.9558730158730159,0.7059728797247826
FSLR,Information Technology,1,2,0.0,0.002627766516180322
HCP,Real Estate,316,1,0.7986337150894113,0.9044666546063589
FTR,Telecommunications Services,8,1,1.0,0.027017454351432033
FFIV,Information Technology,11,2,0.9090909090909091,0.027979223280287315
BLL,Materials,353,1,0.7266771825907803,0.9671715910391696
HCA,Health Care,1,2,0.0,0.0010474098568062813
BLK,Financials,367,2,0.6975327943300428,0.98703210509072
FTI,Energy,277,0,0.8757913462041542,0.828178490640434
HCN,Real Estate,290,1,0.8552201407946546,0.858096044281942
NFX,Energy,215,0,0.9321451858291676,0.6633896616077986
MA,Information Technology,182,2,0.96563657337138,0.5803747909244725
CBG,Real Estate,243,0,0.9423868312757202,0.7547691931824919
PRGO,Health Care,17,1,0.8970588235294118,0.05241748828557788
MO,Consumer Staples,70,1,0.893167701863354,0.18521981487335878
NOC,Industrials,307,1,0.8127780971237573,0.8856709889467763
MU,Information Technology,14,2,0.978021978021978,0.036632940953680575
CBS,Consumer Discretionary,338,2,0.7568521412392675,0.9439870878172751
NDAQ,Financials,297,0,0.8627263627263627,0.8835396633483137
UHS,Health Care,90,2,0.9602996254681648,0.29050552561153664
MS,Financials,246,0,0.9393396382943421,0.7643292243651096
TJX,Consumer Discretionary,35,2,0.9176470588235294,0.10519658519768432
NOV,Energy,292,0,0.8393823847855765,0.8546421820287243
