id,0,degree,modularity_class,clustering,eigencentrality
BXP,Real Estate,15,9,0.9809523809523809,0.01699728909500545
AXP,Financials,51,4,0.5905882352941176,0.7294809521139726
NSC,Industrials,8,22,0.5714285714285714,0.06285883943418992
EOG,Energy,22,17,0.8874458874458875,0.04755413865242581
EXC,Utilities,15,5,0.9047619047619048,0.030209773205551422
CPB,Consumer Staples,2,25,1.0,6.187807994896772E-4
FRT,Real Estate,16,9,0.875,0.01738460224702094
BK,Financials,30,4,0.8436781609195402,0.462056248600556
VZ,Telecommunications Services,1,1,0.0,2.6694000123036766E-4
CCL,Consumer Discretionary,1,8,0.0,3.8307752262086076E-4
RAI,Consumer Staples,1,23,0.0,2.930265310131502E-4
WDC,Information Technology,1,0,0.0,2.6694000123036766E-4
EXR,Real Estate,15,9,0.9333333333333333,0.017254904870365226
FBHS,Industrials,2,7,1.0,6.200929654983753E-4
HBI,Consumer Discretionary,1,21,0.0,3.247881008065633E-4
PPL,Utilities,25,5,0.7466666666666667,0.045981433892567855
STX,Information Technology,1,0,0.0,2.6694000123036766E-4
HAR,Consumer Discretionary,2,21,0.0,7.089044648246978E-4
BA,Industrials,4,22,1.0,0.04228201312114205
GOOG,Information Technology,3,21,0.6666666666666666,0.0010135659624781117
WAT,Health Care,1,22,0.0,0.0035038947087118136
TAP,Consumer Staples,1,26,0.0,2.6694000123036766E-4
INTU,Information Technology,2,4,1.0,0.038321654726862484
VNO,Real Estate,15,9,0.9333333333333333,0.017254904870365226
MAA,Real Estate,16,9,0.9166666666666666,0.018202343821559837
GOOGL,Information Technology,3,21,0.6666666666666666,0.0010135659624781117
LUK,Financials,17,22,0.8014705882352942,0.29002009789879835
TRIP,Consumer Discretionary,1,21,0.0,2.9573923252328404E-4
PRU,Financials,59,4,0.5622443015780245,0.827329363604547
BWA,Consumer Discretionary,8,22,0.6428571428571429,0.07326183746010001
RF,Financials,34,4,0.8057040998217468,0.5087926352042091
AWK,Utilities,18,5,1.0,0.03766710094310875
UAL,Industrials,4,14,1.0,0.0014491393583638936
LYB,Materials,25,17,0.5666666666666667,0.06324227043802035
UAA,Consumer Discretionary,3,21,0.0,9.295968553057398E-4
RIG,Energy,8,17,1.0,0.018805115806207487
DLPH,Consumer Discretionary,8,22,0.8571428571428571,0.0971338336331641
WM,Industrials,1,27,0.0,2.6694000123036766E-4
SPG,Real Estate,16,9,0.9166666666666666,0.018202343821559833
WEC,Utilities,21,5,0.9476190476190476,0.04262664979822978
FIS,Information Technology,61,4,0.41420765027322404,0.7451603299086528
GPN,Information Technology,1,4,0.0,0.01501691073288742
GT,Consumer Discretionary,1,22,0.0,0.005279294133098015
GS,Financials,36,4,0.7492063492063492,0.5477401868465932
D,Utilities,22,5,0.8961038961038961,0.04364455233834306
FITB,Financials,29,4,0.8719211822660099,0.4376769633735042
EQR,Real Estate,15,9,0.9809523809523809,0.016997289095005454
L,Financials,38,4,0.7297297297297297,0.6016502100435619
HRS,Information Technology,8,22,0.8928571428571429,0.15129371773250058
GPC,Consumer Discretionary,30,22,0.6298850574712643,0.44000967495889354
TGNA,Consumer Discretionary,1,8,0.0,0.006556056422624569
GE,Industrials,30,22,0.6988505747126437,0.41935754284661186
MAR,Consumer Discretionary,6,8,0.4,0.04668211471611266
FOX,Consumer Discretionary,2,8,1.0,0.006994387031639028
T,Telecommunications Services,1,1,0.0,2.6694000123036766E-4
CME,Financials,2,2,0.0,0.01821473288133294
XLNX,Information Technology,2,24,1.0,0.001189473975273518
LMT,Industrials,3,22,1.0,0.008433568669789157
BRK-B,Financials,38,4,0.647226173541963,0.552130469993315
MAS,Industrials,2,7,1.0,6.200929654983753E-4
CELG,Health Care,4,21,0.16666666666666666,0.0012361572932516295
PHM,Consumer Discretionary,2,20,1.0,5.912978017284289E-4
SNA,Consumer Discretionary,20,22,0.6421052631578947,0.23914056229390268
CINF,Financials,14,4,0.7912087912087912,0.18756025154721487
KSS,Consumer Discretionary,1,3,0.0,2.6694000123036766E-4
EFX,Industrials,5,4,0.5,0.052163074607842135
GWW,Industrials,5,22,0.7,0.0582777533657972
EQT,Energy,2,17,1.0,6.571283378194582E-4
NTRS,Financials,35,4,0.8201680672268907,0.5513583873871449
RHI,Industrials,7,22,0.9047619047619048,0.11124964604016735
SYK,Health Care,3,4,0.6666666666666666,0.045545780735929416
APH,Information Technology,23,22,0.5849802371541502,0.29476844581919587
KIM,Real Estate,17,9,0.8235294117647058,0.018589656973575303
ROST,Consumer Discretionary,1,13,0.0,2.6694000123036766E-4
APC,Energy,18,17,0.9607843137254902,0.04007946915437436
APA,Energy,24,17,0.7898550724637681,0.0494065489130207
XYL,Industrials,6,22,1.0,0.09937891278813903
HCP,Real Estate,2,9,1.0,6.517045760483096E-4
APD,Materials,4,22,0.6666666666666666,0.05022498367503657
CXO,Energy,22,17,0.8701298701298701,0.047227760845897984
KSU,Industrials,4,22,0.6666666666666666,0.01846526778827434
AEP,Utilities,23,5,0.8537549407114624,0.04465988335915576
CL,Consumer Staples,3,15,1.0,0.0010109684446718272
BEN,Financials,53,4,0.555878084179971,0.7441763460745633
AET,Health Care,4,10,0.8333333333333334,0.0013819342809471404
CMI,Industrials,41,22,0.55,0.5090673689399877
WFC,Financials,52,4,0.6184012066365008,0.750121111814096
FLS,Industrials,14,22,0.5274725274725275,0.10988290930897784
EMN,Materials,11,22,0.4909090909090909,0.09209807023529436
C,Financials,33,4,0.8049242424242424,0.5000480089905716
DTE,Utilities,24,5,0.8442028985507246,0.04644732749081113
REGN,Health Care,3,21,0.6666666666666666,0.0010679716667743048
AMAT,Information Technology,6,24,0.9333333333333333,0.004478367769582811
IFF,Materials,10,22,0.6222222222222222,0.12931937812664765
CHTR,Consumer Discretionary,1,12,0.0,2.6694000123036766E-4
AEE,Utilities,24,5,0.8442028985507246,0.04644732749081113
NVDA,Information Technology,2,24,1.0,0.0019748466452172214
EMR,Industrials,49,22,0.46003401360544216,0.5691493226521204
PEG,Utilities,22,5,0.9177489177489178,0.044052184487934326
ZION,Financials,19,4,0.9883040935672515,0.2894752942807858
CMS,Utilities,24,5,0.8442028985507246,0.04644732749081113
TSS,Information Technology,14,4,1.0,0.26323906031522415
HD,Consumer Discretionary,1,7,0.0,2.956508281694004E-4
MHK,Consumer Discretionary,3,7,0.3333333333333333,8.896553375729728E-4
XRAY,Health Care,11,4,0.45454545454545453,0.13734219585114466
AVGO,Information Technology,6,24,0.7333333333333333,0.004338509214580893
DHI,Consumer Discretionary,2,20,1.0,5.912978017284289E-4
VLO,Energy,3,17,0.6666666666666666,0.001615345463345811
NWS,Consumer Discretionary,1,6,0.0,2.6694000123036766E-4
TSO,Energy,2,17,1.0,6.923882287458981E-4
HUM,Health Care,3,10,1.0,0.0010778758161001938
SCG,Utilities,24,5,0.8442028985507246,0.04644732749081113
RTN,Industrials,6,22,0.6,0.019743052339845645
AME,Industrials,53,22,0.4680696661828737,0.6406746313310465
MAC,Real Estate,2,9,1.0,0.002376176515463045
AMG,Financials,35,4,0.7983193277310925,0.5657794849803333
COL,Industrials,13,22,0.6794871794871795,0.1574044260071268
PG,Consumer Staples,3,15,1.0,0.0010109684446718272
LOW,Consumer Discretionary,2,7,0.0,5.913821385593423E-4
LLL,Industrials,2,22,1.0,0.005669592705598596
ROP,Industrials,25,22,0.7866666666666666,0.34461988620453904
AMP,Financials,90,4,0.3278401997503121,1.0
