id,0,degree,modularity_class,clustering,eigencentrality
NTAP,Information Technology,4,8,0.8333333333333334,0.01408425680208201
CERN,Health Care,30,6,0.9356321839080459,0.16783511968575612
RSG,Industrials,76,10,0.9049122807017543,0.40824481181844857
PNW,Utilities,42,7,0.8037166085946573,0.15423851997325339
AVB,Real Estate,117,5,0.8505747126436781,0.5964007826750717
PNC,Financials,76,13,0.7817543859649123,0.34907586038280897
BXP,Real Estate,183,5,0.6863628175103585,0.8410545690004699
GOOGL,Information Technology,1,11,0.0,6.889979653727359E-5
VFC,Consumer Discretionary,197,5,0.6252460375012949,0.8675769641115709
AON,Financials,40,10,0.9846153846153847,0.2334792984576833
RAI,Consumer Staples,12,7,0.7272727272727273,0.05502255900335194
PRU,Financials,226,13,0.5406882989183874,0.9304270263898469
RF,Financials,23,13,0.9407114624505929,0.07696465460246
RL,Consumer Discretionary,71,5,0.8366197183098592,0.35295727743767313
AYI,Industrials,105,5,0.9362637362637363,0.5728669749260028
URBN,Consumer Discretionary,1,5,0.0,2.316976893470854E-4
CHK,Energy,24,6,0.9601449275362319,0.09770126928031451
L,Financials,270,7,0.42492083161228145,0.9928141605797562
HRS,Information Technology,130,8,0.7880739415623137,0.6409439239754608
MRO,Energy,129,6,0.7388565891472868,0.6118298074154681
MRK,Health Care,6,13,0.7333333333333333,0.03146392681474371
IPG,Consumer Discretionary,63,10,0.9738863287250384,0.35738846373944394
RHT,Information Technology,11,8,0.4727272727272727,0.036991564188394804
RHI,Industrials,152,5,0.7619379574764726,0.7347156367758613
APH,Information Technology,212,6,0.5786014486273808,0.9003545342462235
ROST,Consumer Discretionary,4,5,1.0,0.00626941615798146
APC,Energy,2,6,0.0,0.0010988882458019648
APA,Energy,197,6,0.6208950585310267,0.862877823604542
APD,Materials,83,10,0.95797825448134,0.4637088664687066
KSU,Industrials,107,5,0.864750484923294,0.5527795496922131
KSS,Consumer Discretionary,12,5,0.5,0.023519247768894
WFC,Financials,104,13,0.7720313666915609,0.4937728339005351
IFF,Materials,237,10,0.517914610598584,0.9591726946359532
NVDA,Information Technology,7,8,1.0,0.024302267144894984
XRAY,Health Care,126,10,0.7507301587301587,0.6063106945312392
RTN,Industrials,100,5,0.8973737373737374,0.530745637007045
PKI,Health Care,44,10,0.8974630021141649,0.23327770068834408
AFL,Financials,253,13,0.466403162055336,0.9731988913308337
DISCA,Consumer Discretionary,34,10,0.9358288770053476,0.18695418951741327
PAYX,Information Technology,169,5,0.7265426880811496,0.7997827648525937
OXY,Energy,110,6,0.7854879065888241,0.534978278289511
ED,Utilities,51,7,0.7552941176470588,0.19889916086401865
DISCK,Consumer Discretionary,18,10,0.9607843137254902,0.0951249632940828
ORLY,Consumer Discretionary,2,4,0.0,1.3785873354494932E-4
DLR,Real Estate,24,5,1.0,0.11761730294900888
CSX,Industrials,190,5,0.665441381230855,0.8620864250618578
TMK,Financials,246,13,0.4839223494275759,0.962525907383864
EQIX,Real Estate,1,8,0.0,7.251110104746508E-5
ES,Utilities,99,7,0.7283034425891569,0.4519089923695209
STT,Financials,84,13,0.8330464716006885,0.4215107786670615
LUV,Industrials,12,10,0.696969696969697,0.05873238854006228
MUR,Energy,218,6,0.5700756775039107,0.9203843586387097
WYN,Consumer Discretionary,156,5,0.7817204301075269,0.7631300063877581
LUK,Financials,240,13,0.5,0.9524619354449932
ADSK,Information Technology,141,5,0.7972644376899696,0.6980952526728692
LNT,Utilities,94,7,0.7387325554792954,0.4369913229477912
ECL,Materials,34,10,0.9946524064171123,0.20323514287648006
SEE,Materials,147,5,0.7638617090671885,0.7129777480220276
PVH,Consumer Discretionary,103,5,0.8326670474014849,0.5148048762176691
DGX,Health Care,1,2,0.0,6.889979653727359E-5
NUE,Materials,123,6,0.8075436492069838,0.6136084980282484
LNC,Financials,188,13,0.6378427579929458,0.8344651891422834
